-313.90198999999996,10063,0,2,1.2,629,All
-275.42196,10063,0,2,1.2,1277,All
-275.42196,10063,0,2,1.2,1925,All
-270.95195,10063,0,2,1.2,2576,All
-270.95195,10063,0,2,1.2,3217,All
-262.74208,10063,0,2,1.2,3858,All
-262.74208,10063,0,2,1.2,4535,All
-253.57191,10063,0,2,1.2,5244,All
-253.57191,10063,0,2,1.2,5982,All
-253.57191,10063,0,2,1.2,6670,All
-253.57191,10063,0,2,1.2,7303,All
-253.57191,10063,0,2,1.2,7940,All
-253.57191,10063,0,2,1.2,8601,All
-253.57191,10063,0,2,1.2,9272,All
-253.57191,10063,0,2,1.2,9951,All
-291.95204,10065,0,1.5,1.2,473,All
-291.95204,10065,0,1.5,1.2,1015,All
-291.95204,10065,0,1.5,1.2,1544,All
-291.95204,10065,0,1.5,1.2,2058,All
